title,slug,difficulty,topics
Unique Paths II,unique-paths-ii,MEDIUM,"array,dynamic-programming,matrix"
Minimum Path Sum,minimum-path-sum,MEDIUM,"array,dynamic-programming,matrix"
Valid Number,valid-number,HARD,string
Plus One,plus-one,EASY,"array,math"
Add Binary,add-binary,EASY,"math,string,bit-manipulation,simulation"
Text Justification,text-justification,HARD,"array,string,simulation"
Sqrt(x),sqrtx,EASY,"math,binary-search"
Climbing Stairs,climbing-stairs,EASY,"math,dynamic-programming,memoization"
Simplify Path,simplify-path,MEDIUM,"string,stack"
Edit Distance,edit-distance,MEDIUM,"string,dynamic-programming"
Set Matrix Zeroes,set-matrix-zeroes,MEDIUM,"array,hash-table,matrix"
Search a 2D Matrix,search-a-2d-matrix,MEDIUM,"array,binary-search,matrix"
Sort Colors,sort-colors,MEDIUM,"array,two-pointers,sorting"
Minimum Window Substring,minimum-window-substring,HARD,"hash-table,string,sliding-window"
Combinations,combinations,MEDIUM,backtracking
Subsets,subsets,MEDIUM,"array,backtracking,bit-manipulation"
Word Search,word-search,MEDIUM,"array,string,backtracking,depth-first-search,matrix"
Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,MEDIUM,"array,two-pointers"
Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,MEDIUM,"array,binary-search"
Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,MEDIUM,"linked-list,two-pointers"
Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,EASY,linked-list
Largest Rectangle in Histogram,largest-rectangle-in-histogram,HARD,"array,stack,monotonic-stack"
Maximal Rectangle,maximal-rectangle,HARD,"array,dynamic-programming,stack,matrix,monotonic-stack"
Partition List,partition-list,MEDIUM,"linked-list,two-pointers"
Scramble String,scramble-string,HARD,"string,dynamic-programming"
Merge Sorted Array,merge-sorted-array,EASY,"array,two-pointers,sorting"
Gray Code,gray-code,MEDIUM,"math,backtracking,bit-manipulation"
Subsets II,subsets-ii,MEDIUM,"array,backtracking,bit-manipulation"
Decode Ways,decode-ways,MEDIUM,"string,dynamic-programming"
Reverse Linked List II,reverse-linked-list-ii,MEDIUM,linked-list
Restore IP Addresses,restore-ip-addresses,MEDIUM,"string,backtracking"
Binary Tree Inorder Traversal,binary-tree-inorder-traversal,EASY,"stack,tree,depth-first-search,binary-tree"
Unique Binary Search Trees II,unique-binary-search-trees-ii,MEDIUM,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree"
Unique Binary Search Trees,unique-binary-search-trees,MEDIUM,"math,dynamic-programming,tree,binary-search-tree,binary-tree"
Interleaving String,interleaving-string,MEDIUM,"string,dynamic-programming"
Validate Binary Search Tree,validate-binary-search-tree,MEDIUM,"tree,depth-first-search,binary-search-tree,binary-tree"
Recover Binary Search Tree,recover-binary-search-tree,MEDIUM,"tree,depth-first-search,binary-search-tree,binary-tree"
Same Tree,same-tree,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Symmetric Tree,symmetric-tree,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Binary Tree Level Order Traversal,binary-tree-level-order-traversal,MEDIUM,"tree,breadth-first-search,binary-tree"
Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,MEDIUM,"tree,breadth-first-search,binary-tree"
Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,MEDIUM,"array,hash-table,divide-and-conquer,tree,binary-tree"
Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,MEDIUM,"array,hash-table,divide-and-conquer,tree,binary-tree"
Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,MEDIUM,"tree,breadth-first-search,binary-tree"
Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,EASY,"array,divide-and-conquer,tree,binary-search-tree,binary-tree"
Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,MEDIUM,"linked-list,divide-and-conquer,tree,binary-search-tree,binary-tree"
Balanced Binary Tree,balanced-binary-tree,EASY,"tree,depth-first-search,binary-tree"
Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Path Sum,path-sum,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Path Sum II,path-sum-ii,MEDIUM,"backtracking,tree,depth-first-search,binary-tree"
Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,MEDIUM,"linked-list,stack,tree,depth-first-search,binary-tree"
Distinct Subsequences,distinct-subsequences,HARD,"string,dynamic-programming"
Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,MEDIUM,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree"
Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,MEDIUM,"linked-list,tree,depth-first-search,breadth-first-search,binary-tree"
Pascal's Triangle,pascals-triangle,EASY,"array,dynamic-programming"
Pascal's Triangle II,pascals-triangle-ii,EASY,"array,dynamic-programming"
Triangle,triangle,MEDIUM,"array,dynamic-programming"
Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,EASY,"array,dynamic-programming"
Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,MEDIUM,"array,dynamic-programming,greedy"
Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,HARD,"array,dynamic-programming"
Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,HARD,"dynamic-programming,tree,depth-first-search,binary-tree"
Valid Palindrome,valid-palindrome,EASY,"two-pointers,string"
Word Ladder II,word-ladder-ii,HARD,"hash-table,string,backtracking,breadth-first-search"
Word Ladder,word-ladder,HARD,"hash-table,string,breadth-first-search"
Longest Consecutive Sequence,longest-consecutive-sequence,MEDIUM,"array,hash-table,union-find"
Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,MEDIUM,"tree,depth-first-search,binary-tree"
Surrounded Regions,surrounded-regions,MEDIUM,"array,depth-first-search,breadth-first-search,union-find,matrix"
Palindrome Partitioning,palindrome-partitioning,MEDIUM,"string,dynamic-programming,backtracking"
Palindrome Partitioning II,palindrome-partitioning-ii,HARD,"string,dynamic-programming"
Clone Graph,clone-graph,MEDIUM,"hash-table,depth-first-search,breadth-first-search,graph"
Gas Station,gas-station,MEDIUM,"array,greedy"
Candy,candy,HARD,"array,greedy"
Single Number,single-number,EASY,"array,bit-manipulation"
Single Number II,single-number-ii,MEDIUM,"array,bit-manipulation"
Copy List with Random Pointer,copy-list-with-random-pointer,MEDIUM,"hash-table,linked-list"
Word Break,word-break,MEDIUM,"array,hash-table,string,dynamic-programming,trie,memoization"
Word Break II,word-break-ii,HARD,"array,hash-table,string,dynamic-programming,backtracking,trie,memoization"
Linked List Cycle,linked-list-cycle,EASY,"hash-table,linked-list,two-pointers"
Linked List Cycle II,linked-list-cycle-ii,MEDIUM,"hash-table,linked-list,two-pointers"
Reorder List,reorder-list,MEDIUM,"linked-list,two-pointers,stack,recursion"
Binary Tree Preorder Traversal,binary-tree-preorder-traversal,EASY,"stack,tree,depth-first-search,binary-tree"
Binary Tree Postorder Traversal,binary-tree-postorder-traversal,EASY,"stack,tree,depth-first-search,binary-tree"
LRU Cache,lru-cache,MEDIUM,"hash-table,linked-list,design,doubly-linked-list"
Insertion Sort List,insertion-sort-list,MEDIUM,"linked-list,sorting"
Sort List,sort-list,MEDIUM,"linked-list,two-pointers,divide-and-conquer,sorting,merge-sort"
Max Points on a Line,max-points-on-a-line,HARD,"array,hash-table,math,geometry"
Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,MEDIUM,"array,math,stack"
Reverse Words in a String,reverse-words-in-a-string,MEDIUM,"two-pointers,string"
Maximum Product Subarray,maximum-product-subarray,MEDIUM,"array,dynamic-programming"
Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,MEDIUM,"array,binary-search"
Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,HARD,"array,binary-search"
Min Stack,min-stack,MEDIUM,"stack,design"
Binary Tree Upside Down,binary-tree-upside-down,MEDIUM,"tree,depth-first-search,binary-tree"
Read N Characters Given Read4,read-n-characters-given-read4,EASY,"array,simulation,interactive"
Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,HARD,"array,simulation,interactive"
Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,MEDIUM,"hash-table,string,sliding-window"
Intersection of Two Linked Lists,intersection-of-two-linked-lists,EASY,"hash-table,linked-list,two-pointers"
One Edit Distance,one-edit-distance,MEDIUM,"two-pointers,string"
Find Peak Element,find-peak-element,MEDIUM,"array,binary-search"
Missing Ranges,missing-ranges,EASY,array
Maximum Gap,maximum-gap,MEDIUM,"array,sorting,bucket-sort,radix-sort"
Compare Version Numbers,compare-version-numbers,MEDIUM,"two-pointers,string"
Fraction to Recurring Decimal,fraction-to-recurring-decimal,MEDIUM,"hash-table,math,string"
Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,MEDIUM,"array,two-pointers,binary-search"
Excel Sheet Column Title,excel-sheet-column-title,EASY,"math,string"
Majority Element,majority-element,EASY,"array,hash-table,divide-and-conquer,sorting,counting"
Two Sum III - Data structure design,two-sum-iii-data-structure-design,EASY,"array,hash-table,two-pointers,design,data-stream"
Excel Sheet Column Number,excel-sheet-column-number,EASY,"math,string"
Factorial Trailing Zeroes,factorial-trailing-zeroes,MEDIUM,math
Binary Search Tree Iterator,binary-search-tree-iterator,MEDIUM,"stack,tree,design,binary-search-tree,binary-tree,iterator"
Dungeon Game,dungeon-game,HARD,"array,dynamic-programming,matrix"
Combine Two Tables,combine-two-tables,EASY,database
Second Highest Salary,second-highest-salary,MEDIUM,database
Nth Highest Salary,nth-highest-salary,MEDIUM,database
Rank Scores,rank-scores,MEDIUM,database
Largest Number,largest-number,MEDIUM,"array,string,greedy,sorting"
Consecutive Numbers,consecutive-numbers,MEDIUM,database
Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,EASY,database
Duplicate Emails,duplicate-emails,EASY,database
Customers Who Never Order,customers-who-never-order,EASY,database
Department Highest Salary,department-highest-salary,MEDIUM,database
Department Top Three Salaries,department-top-three-salaries,HARD,database
Reverse Words in a String II,reverse-words-in-a-string-ii,MEDIUM,"two-pointers,string"
Repeated DNA Sequences,repeated-dna-sequences,MEDIUM,"hash-table,string,bit-manipulation,sliding-window,rolling-hash,hash-function"
Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,HARD,"array,dynamic-programming"
Rotate Array,rotate-array,MEDIUM,"array,math,two-pointers"
Reverse Bits,reverse-bits,EASY,"divide-and-conquer,bit-manipulation"
Number of 1 Bits,number-of-1-bits,EASY,"divide-and-conquer,bit-manipulation"
Word Frequency,word-frequency,MEDIUM,shell
Valid Phone Numbers,valid-phone-numbers,EASY,shell
Transpose File,transpose-file,MEDIUM,shell
Tenth Line,tenth-line,EASY,shell
Delete Duplicate Emails,delete-duplicate-emails,EASY,database
Rising Temperature,rising-temperature,EASY,database
House Robber,house-robber,MEDIUM,"array,dynamic-programming"
Binary Tree Right Side View,binary-tree-right-side-view,MEDIUM,"tree,depth-first-search,breadth-first-search,binary-tree"
Number of Islands,number-of-islands,MEDIUM,"array,depth-first-search,breadth-first-search,union-find,matrix"
Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,MEDIUM,bit-manipulation
Happy Number,happy-number,EASY,"hash-table,math,two-pointers"
Remove Linked List Elements,remove-linked-list-elements,EASY,"linked-list,recursion"
Count Primes,count-primes,MEDIUM,"array,math,enumeration,number-theory"
Isomorphic Strings,isomorphic-strings,EASY,"hash-table,string"
Reverse Linked List,reverse-linked-list,EASY,"linked-list,recursion"
Course Schedule,course-schedule,MEDIUM,"depth-first-search,breadth-first-search,graph,topological-sort"
Implement Trie (Prefix Tree),implement-trie-prefix-tree,MEDIUM,"hash-table,string,design,trie"
Minimum Size Subarray Sum,minimum-size-subarray-sum,MEDIUM,"array,binary-search,sliding-window,prefix-sum"
Course Schedule II,course-schedule-ii,MEDIUM,"depth-first-search,breadth-first-search,graph,topological-sort"
Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,MEDIUM,"string,depth-first-search,design,trie"
Word Search II,word-search-ii,HARD,"array,string,backtracking,trie,matrix"
House Robber II,house-robber-ii,MEDIUM,"array,dynamic-programming"
Shortest Palindrome,shortest-palindrome,HARD,"string,rolling-hash,string-matching,hash-function"
Kth Largest Element in an Array,kth-largest-element-in-an-array,MEDIUM,"array,divide-and-conquer,sorting,heap-priority-queue,quickselect"
Combination Sum III,combination-sum-iii,MEDIUM,"array,backtracking"
Contains Duplicate,contains-duplicate,EASY,"array,hash-table,sorting"
The Skyline Problem,the-skyline-problem,HARD,"array,divide-and-conquer,binary-indexed-tree,segment-tree,line-sweep,sorting,heap-priority-queue,ordered-set"
Contains Duplicate II,contains-duplicate-ii,EASY,"array,hash-table,sliding-window"
Contains Duplicate III,contains-duplicate-iii,HARD,"array,sliding-window,sorting,bucket-sort,ordered-set"
Maximal Square,maximal-square,MEDIUM,"array,dynamic-programming,matrix"
Count Complete Tree Nodes,count-complete-tree-nodes,EASY,"binary-search,bit-manipulation,tree,binary-tree"
Rectangle Area,rectangle-area,MEDIUM,"math,geometry"
Basic Calculator,basic-calculator,HARD,"math,string,stack,recursion"
Implement Stack using Queues,implement-stack-using-queues,EASY,"stack,design,queue"
Invert Binary Tree,invert-binary-tree,EASY,"tree,depth-first-search,breadth-first-search,binary-tree"
Basic Calculator II,basic-calculator-ii,MEDIUM,"math,string,stack"
Summary Ranges,summary-ranges,EASY,array
Majority Element II,majority-element-ii,MEDIUM,"array,hash-table,sorting,counting"
Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,MEDIUM,"tree,depth-first-search,binary-search-tree,binary-tree"
Power of Two,power-of-two,EASY,"math,bit-manipulation,recursion"
Implement Queue using Stacks,implement-queue-using-stacks,EASY,"stack,design,queue"
Number of Digit One,number-of-digit-one,HARD,"math,dynamic-programming,recursion"
Palindrome Linked List,palindrome-linked-list,EASY,"linked-list,two-pointers,stack,recursion"
Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,MEDIUM,"tree,depth-first-search,binary-search-tree,binary-tree"
Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,MEDIUM,"tree,depth-first-search,binary-tree"
Delete Node in a Linked List,delete-node-in-a-linked-list,MEDIUM,linked-list
Product of Array Except Self,product-of-array-except-self,MEDIUM,"array,prefix-sum"
Sliding Window Maximum,sliding-window-maximum,HARD,"array,queue,sliding-window,heap-priority-queue,monotonic-queue"
Search a 2D Matrix II,search-a-2d-matrix-ii,MEDIUM,"array,binary-search,divide-and-conquer,matrix"
Different Ways to Add Parentheses,different-ways-to-add-parentheses,MEDIUM,"math,string,dynamic-programming,recursion,memoization"
Valid Anagram,valid-anagram,EASY,"hash-table,string,sorting"
Shortest Word Distance,shortest-word-distance,EASY,"array,string"
Shortest Word Distance II,shortest-word-distance-ii,MEDIUM,"array,hash-table,two-pointers,string,design"
Shortest Word Distance III,shortest-word-distance-iii,MEDIUM,"array,string"
Strobogrammatic Number,strobogrammatic-number,EASY,"hash-table,two-pointers,string"
Strobogrammatic Number II,strobogrammatic-number-ii,MEDIUM,"array,string,recursion"
Strobogrammatic Number III,strobogrammatic-number-iii,HARD,"array,string,recursion"
Group Shifted Strings,group-shifted-strings,MEDIUM,"array,hash-table,string"
Count Univalue Subtrees,count-univalue-subtrees,MEDIUM,"tree,depth-first-search,binary-tree"
Flatten 2D Vector,flatten-2d-vector,MEDIUM,"array,two-pointers,design,iterator"
Meeting Rooms,meeting-rooms,EASY,"array,sorting"
Meeting Rooms II,meeting-rooms-ii,MEDIUM,"array,two-pointers,greedy,sorting,heap-priority-queue,prefix-sum"
Factor Combinations,factor-combinations,MEDIUM,backtracking
Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,MEDIUM,"array,stack,tree,binary-search-tree,recursion,monotonic-stack,binary-tree"
Paint House,paint-house,MEDIUM,"array,dynamic-programming"
Binary Tree Paths,binary-tree-paths,EASY,"string,backtracking,tree,depth-first-search,binary-tree"
Add Digits,add-digits,EASY,"math,simulation,number-theory"
3Sum Smaller,3sum-smaller,MEDIUM,"array,two-pointers,binary-search,sorting"
Single Number III,single-number-iii,MEDIUM,"array,bit-manipulation"
Graph Valid Tree,graph-valid-tree,MEDIUM,"depth-first-search,breadth-first-search,union-find,graph"
Trips and Users,trips-and-users,HARD,database
Ugly Number,ugly-number,EASY,math
Ugly Number II,ugly-number-ii,MEDIUM,"hash-table,math,dynamic-programming,heap-priority-queue"
Paint House II,paint-house-ii,HARD,"array,dynamic-programming"
Palindrome Permutation,palindrome-permutation,EASY,"hash-table,string,bit-manipulation"
Palindrome Permutation II,palindrome-permutation-ii,MEDIUM,"hash-table,string,backtracking"
Missing Number,missing-number,EASY,"array,hash-table,math,binary-search,bit-manipulation,sorting"
Alien Dictionary,alien-dictionary,HARD,"array,string,depth-first-search,breadth-first-search,graph,topological-sort"
Closest Binary Search Tree Value,closest-binary-search-tree-value,EASY,"binary-search,tree,depth-first-search,binary-search-tree,binary-tree"
Encode and Decode Strings,encode-and-decode-strings,MEDIUM,"array,string,design"
Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,HARD,"two-pointers,stack,tree,depth-first-search,binary-search-tree,heap-priority-queue,binary-tree"
Integer to English Words,integer-to-english-words,HARD,"math,string,recursion"
H-Index,h-index,MEDIUM,"array,sorting,counting-sort"
H-Index II,h-index-ii,MEDIUM,"array,binary-search"
Paint Fence,paint-fence,MEDIUM,dynamic-programming
Find the Celebrity,find-the-celebrity,MEDIUM,"two-pointers,graph,interactive"
First Bad Version,first-bad-version,EASY,"binary-search,interactive"
Perfect Squares,perfect-squares,MEDIUM,"math,dynamic-programming,breadth-first-search"
Wiggle Sort,wiggle-sort,MEDIUM,"array,greedy,sorting"
Zigzag Iterator,zigzag-iterator,MEDIUM,"array,design,queue,iterator"
Expression Add Operators,expression-add-operators,HARD,"math,string,backtracking"
Move Zeroes,move-zeroes,EASY,"array,two-pointers"
Peeking Iterator,peeking-iterator,MEDIUM,"array,design,iterator"
Inorder Successor in BST,inorder-successor-in-bst,MEDIUM,"tree,depth-first-search,binary-search-tree,binary-tree"
Walls and Gates,walls-and-gates,MEDIUM,"array,breadth-first-search,matrix"
Find the Duplicate Number,find-the-duplicate-number,MEDIUM,"array,two-pointers,binary-search,bit-manipulation"
Unique Word Abbreviation,unique-word-abbreviation,MEDIUM,"array,hash-table,string,design"
Game of Life,game-of-life,MEDIUM,"array,matrix,simulation"
Word Pattern,word-pattern,EASY,"hash-table,string"
Word Pattern II,word-pattern-ii,MEDIUM,"hash-table,string,backtracking"
Nim Game,nim-game,EASY,"math,brainteaser,game-theory"
Flip Game,flip-game,EASY,string
Flip Game II,flip-game-ii,MEDIUM,"math,dynamic-programming,backtracking,memoization,game-theory"
Find Median from Data Stream,find-median-from-data-stream,HARD,"two-pointers,design,sorting,heap-priority-queue,data-stream"
Best Meeting Point,best-meeting-point,HARD,"array,math,sorting,matrix"
Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,HARD,"string,tree,depth-first-search,breadth-first-search,design,binary-tree"
Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,MEDIUM,"tree,depth-first-search,binary-tree"
Bulls and Cows,bulls-and-cows,MEDIUM,"hash-table,string,counting"
Longest Increasing Subsequence,longest-increasing-subsequence,MEDIUM,"array,binary-search,dynamic-programming"
Remove Invalid Parentheses,remove-invalid-parentheses,HARD,"string,backtracking,breadth-first-search"
Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,HARD,"array,binary-search,depth-first-search,breadth-first-search,matrix"
Range Sum Query - Immutable,range-sum-query-immutable,EASY,"array,design,prefix-sum"
Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,MEDIUM,"array,design,matrix,prefix-sum"
Number of Islands II,number-of-islands-ii,HARD,"array,hash-table,union-find"
Additive Number,additive-number,MEDIUM,"string,backtracking"
Range Sum Query - Mutable,range-sum-query-mutable,MEDIUM,"array,divide-and-conquer,design,binary-indexed-tree,segment-tree"
Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,MEDIUM,"array,design,binary-indexed-tree,segment-tree,matrix"
Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,MEDIUM,"array,dynamic-programming"
Minimum Height Trees,minimum-height-trees,MEDIUM,"depth-first-search,breadth-first-search,graph,topological-sort"
Sparse Matrix Multiplication,sparse-matrix-multiplication,MEDIUM,"array,hash-table,matrix"
Burst Balloons,burst-balloons,HARD,"array,dynamic-programming"
Super Ugly Number,super-ugly-number,MEDIUM,"array,math,dynamic-programming"
Binary Tree Vertical Order Traversal,binary-tree-vertical-order-traversal,MEDIUM,"hash-table,tree,depth-first-search,breadth-first-search,sorting,binary-tree"
Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,HARD,"array,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
Remove Duplicate Letters,remove-duplicate-letters,MEDIUM,"string,stack,greedy,monotonic-stack"
Shortest Distance from All Buildings,shortest-distance-from-all-buildings,HARD,"array,breadth-first-search,matrix"
Maximum Product of Word Lengths,maximum-product-of-word-lengths,MEDIUM,"array,string,bit-manipulation"
Bulb Switcher,bulb-switcher,MEDIUM,"math,brainteaser"
Generalized Abbreviation,generalized-abbreviation,MEDIUM,"string,backtracking,bit-manipulation"
Create Maximum Number,create-maximum-number,HARD,"array,two-pointers,stack,greedy,monotonic-stack"
Coin Change,coin-change,MEDIUM,"array,dynamic-programming,breadth-first-search"
Number of Connected Components in an Undirected Graph,number-of-connected-components-in-an-undirected-graph,MEDIUM,"depth-first-search,breadth-first-search,union-find,graph"
Wiggle Sort II,wiggle-sort-ii,MEDIUM,"array,divide-and-conquer,greedy,sorting,quickselect"
Maximum Size Subarray Sum Equals k,maximum-size-subarray-sum-equals-k,MEDIUM,"array,hash-table,prefix-sum"
Power of Three,power-of-three,EASY,"math,recursion"
Count of Range Sum,count-of-range-sum,HARD,"array,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
Odd Even Linked List,odd-even-linked-list,MEDIUM,linked-list
Longest Increasing Path in a Matrix,longest-increasing-path-in-a-matrix,HARD,"array,dynamic-programming,depth-first-search,breadth-first-search,graph,topological-sort,memoization,matrix"
Patching Array,patching-array,HARD,"array,greedy"
Verify Preorder Serialization of a Binary Tree,verify-preorder-serialization-of-a-binary-tree,MEDIUM,"string,stack,tree,binary-tree"
Reconstruct Itinerary,reconstruct-itinerary,HARD,"depth-first-search,graph,eulerian-circuit"
Largest BST Subtree,largest-bst-subtree,MEDIUM,"dynamic-programming,tree,depth-first-search,binary-search-tree,binary-tree"
Increasing Triplet Subsequence,increasing-triplet-subsequence,MEDIUM,"array,greedy"
Self Crossing,self-crossing,HARD,"array,math,geometry"
